Urban development	to develop	(sich) entwickeln	The council plans to ___ the empty site into a public park.
Urban development	growth	Wachstum	The town's rapid population ___ means it needs more homes.
Urban development	to increase	steigen; erhöhen; zunehmen; wachsen	The company plans to ___ the number of apprentices from ten to twenty.
Urban development	industrialisation	Industrialisierung	The shift from farming to factory production is called ___.
Urban development	infrastructure	Infrastruktur	Roads, bridges and water pipes are essential ___.
Urban development	setback	Rückschlag	Losing their main sponsor was a serious ___ for the project.
Urban development	settler	Siedler/-in	A ___ arrives in a new area to build a home and live there.
Urban development	to spread	(sich) verbreiten	Online rumours can ___ very quickly.
Urban development	tie	Beziehung; Bindung	Their shared history creates a strong ___ between the two towns.
Urban development	trade	Handel	The port is important for international ___ in goods.
Social issues	affordable	bezahlbar; erschwinglich	Students need ___ accommodation that fits their budget.
Social issues	to aggravate	verschlimmern; verschärfen	More traffic will ___ the existing noise problem.
Social issues	climate change	Klimawandel	Rising global temperatures are one sign of ___.
Social issues	crime rate	Kriminalitätsrate; Verbrechensrate	Fewer offences were reported, so the local ___ fell.
Social issues	to deteriorate	sich verschlechtern	Without repairs, the condition of the bridge will ___.
Social issues	discrimination	Diskriminierung	Refusing someone a job because of their religion is ___.
Social issues	disparity	Missverhältnis; Ungleichheit	There is a huge ___ between the highest and lowest salaries.
Social issues	gentrification	Aufwertung durch Luxussanierung	Luxury renovations and rising rents can push residents out through ___.
Social issues	homelessness	Obdachlosigkeit	The charity helps people without a home and works to reduce ___.
Social issues	housing	Unterkunft; Wohnungsbeschaffung	The city must provide more ___ for families who need a place to live.
Social issues	inequality	Ungleichheit	The unequal distribution of income is a form of economic ___.
Social issues	injustice	Ungerechtigkeit	Punishing an innocent person is a serious ___.
Social issues	lack of	Mangel an; Fehlen von	The project stopped because of a ___ funding.
Social issues	pollution	Verschmutzung	Smoke from factories causes air ___.
Social issues	poverty	Armut	Many families cannot afford basic necessities because they live in ___.
Social issues	scarcity	Knappheit; Mangel	After months without rain, the region faces a ___ of water.
Social issues	shelter	Obdach; Schutz; Schutzhütte	During the storm, the hikers found ___ in a mountain hut.
Social issues	to skyrocket	emporschnellen; sprunghaft ansteigen	A sudden shortage can cause prices to ___.
Social issues	traffic jam	Stau	We were stuck in a ___ for an hour on the motorway.
Social issues	wealth	Reichtum; Vermögen	She used her personal ___ to fund a new hospital.
